Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
791	1	743.207513658891	0.222328533722888	743.207513658891	99.5159951945095
792	1	743.286093101742	0.217417281215135	743.286093101742	99.5232496276947
793	1	743.364689162782	0.212642354530795	743.364689162782	99.5303225610749
794	1	743.443301847285	0.207999249530411	743.443301847285	99.5372196880054
795	1	743.521931160524	0.203483634665859	743.521931160524	99.5439464900557
796	1	743.600577107776	0.199091343450981	743.600577107776	99.5505082460764
797	1	743.679239694321	0.194818367300889	743.679239694321	99.5569100408243
798	1	743.757918925438	0.190660848719793	743.757918925438	99.5631567731761
799	1	743.836614806413	0.186615074818647	743.836614806413	99.5692531639484
800	1	743.91532734253	0.182677471144944	743.91532734253	99.5752037633461
801	1	743.994056539077	0.178844595807808	743.994056539077	99.5810129580597
802	1	744.072802401345	0.175113133882948	744.072802401345	99.586684978029
803	1	744.151564934625	0.171479892082435	744.151564934625	99.5922239028907
804	1	744.230344144213	0.167941793675702	744.230344144213	99.5976336681271
805	1	744.309140035405	0.164495873648344	744.309140035405	99.6029180709299
806	1	744.3879526135	0.161139274086549	744.3879526135	99.6080807757957
807	1	744.4667818838	0.157869239775451	744.4667818838	99.613125319865
808	1	744.545627851608	0.154683114000413	744.545627851608	99.6180551180192
809	1	744.624490522231	0.151578334540865	744.624490522231	99.6228734677469
810	1	744.703369900975	0.148552429846923	744.703369900975	99.6275835537914
811	1	744.782265993152	0.145603015389435	744.782265993152	99.6321884525913
812	1	744.861178804074	0.142727790175011	744.861178804074	99.6366911365217
813	1	744.940108339055	0.139924533417337	744.940108339055	99.64109447795
814	1	745.019054603414	0.137191101357477	745.019054603414	99.6454012531114
815	1	745.098017602469	0.134525424225357	745.098017602469	99.6496141458163
816	1	745.176997341542	0.131925503335787	745.176997341542	99.6537357509949
817	1	745.255993825956	0.129389408312232	745.255993825956	99.6577685780886
818	1	745.335007061039	0.126915274432158	745.335007061039	99.661715054296
819	1	745.414037052117	0.124501300088095	745.414037052117	99.6655775276787
820	1	745.493083804523	0.122145744358743	745.493083804523	99.669358270135
821	1	745.572147323588	0.119846924684916	745.572147323588	99.6730594802473
822	1	745.651227614647	0.117603214645241	745.651227614647	99.6766832860097
823	1	745.730324683039	0.115413041826894	745.730324683039	99.6802317474401
824	1	745.809438534103	0.113274885786898	745.809438534103	99.6837068590836
825	1	745.888569173181	0.111187276099636	745.888569173181	99.687110552412
835	97	745.967716605617	0.109148790486669	745.967716605617	99.6904446981232
836	97	746.046880836758	0.107158053024853	746.046880836758	99.6937111083466
837	97	746.126061871951	0.105213732429237	746.126061871951	99.6969115387579
838	97	746.205259716549	0.103314540407277	746.205259716549	99.700047690607
839	97	746.284474375905	0.101459230080972	746.284474375905	99.7031212126644
840	97	746.363705855374	0.099646594474019	746.363705855374	99.7061337030887
841	97	746.442954160314	0.0978754650608072	746.442954160314	99.7090867112187
842	97	746.522219296085	0.0961447103745423	746.522219296085	99.7119817392941
843	97	746.601501268049	0.094453234671887	746.601501268049	99.7148202441075
844	97	746.680800081572	0.0927999766514668	746.680800081572	99.7176036385908
845	97	746.760115742019	0.091183908223923	746.760115742019	99.7203332933398
846	97	746.839448254761	0.0896040333311142	746.839448254761	99.7230105380773
847	97	746.918797625169	0.0880593868124492	746.918797625169	99.7256366630609
848	97	746.998163858617	0.0865490333160714	746.998163858617	99.7282129204346
849	97	747.077546960481	0.0850720662531031	747.077546960481	99.7307405255288
850	97	747.156946936138	0.0836276067929309	747.156946936138	99.7332206581096
851	97	747.23636379097	0.0822148028978531	747.23636379097	99.735654463581
852	97	747.31579753036	0.0808328283953117	747.31579753036	99.7380430541406
853	97	747.395248159693	0.0794808820860924	747.395248159693	99.7403875098908
854	97	747.474715684356	0.0781581868869913	747.474715684356	99.7426888799094
855	97	747.55420010974	0.0768639890064465	747.55420010974	99.7449481832783
856	97	747.633701441236	0.0755975571516986	747.633701441236	99.7471664100752
857	97	747.713219684239	0.0743581817662211	747.713219684239	99.749344522326
858	97	747.792754844145	0.0731451742960611	747.792754844145	99.7514834549248
859	97	747.872306926354	0.0719578664839076	747.872306926354	99.7535841165167
860	97	747.951875936266	0.070795609689778	747.951875936266	99.7556473903504
861	97	748.031461879286	0.0696586413312243	748.031461879286	99.7576721095093
862	97	748.111064760818	0.068545550850546	748.111064760818	99.7596609483208
863	97	748.190684586273	0.0674556370632477	748.190684586273	99.7616149696643
864	97	748.270321361059	0.0663883249864851	748.270321361059	99.763534960957
865	97	748.349975090589	0.065343056162257	748.349975090589	99.7654216881114
876	1	748.42964578028	0.0643192881182312	748.42964578028	99.7672758962146
877	1	748.509333435548	0.0633164938483035	748.509333435548	99.7690983101827
878	1	748.589038061812	0.0623341613119904	748.589038061812	99.7708896353932
879	1	748.668759664495	0.0613717929520343	748.668759664495	99.7726505582936
880	1	748.748498249022	0.0604289052293485	748.748498249022	99.7743817469895
881	1	748.828253820819	0.0595050281747377	748.828253820819	99.7760838518116
882	1	748.908026385314	0.0585997049566085	748.908026385314	99.7777575058625
883	1	748.98781594794	0.0577124914641306	748.98781594794	99.7794033255457
884	1	749.067622514129	0.0568429559052029	749.067622514129	99.7810219110747
885	1	749.147446089318	0.0559906784186203	749.147446089318	99.7826138469658
886	1	749.227286678944	0.0551552506999168	749.227286678944	99.7841797025128
887	1	749.307144288449	0.0543362756403393	749.307144288449	99.7857200322466
888	1	749.387018923275	0.0535333669784568	749.387018923275	99.7872353763781
889	1	749.466910588867	0.0527461489638773	749.466910588867	99.7887262612266
890	1	749.546819290674	0.0519742560326566	749.546819290674	99.7901931996334
891	1	749.626745034144	0.0512173324939033	749.626745034144	99.791636691362
892	1	749.706687824729	0.0504750322271937	749.706687824729	99.793057223484
893	1	749.786647667886	0.0497470183903449	749.786647667886	99.7944552707526
894	1	749.866624569068	0.049032963137191	749.866624569068	99.795831295964
895	1	749.946618533738	0.0483325473449426	749.946618533738	99.7971857503061
896	1	750	0.0478726619387407	750	99.7980776629852
897	1	750.026629567355	0.0476454621204072	750.026629567355	99.7985190719397
898	1	750.106657675383	0.0469714066947975	750.106657675383	99.7998316881618
899	1	750.186702863289	0.0463100829806307	750.186702863289	99.8011240208776
900	1	750.266765136542	0.0456612042055867	750.266765136542	99.802396478104
901	1	750.346844500611	0.0450244910894464	750.346844500611	99.80364945783
902	1	750.426940960969	0.0443996716220059	750.426940960969	99.8048833483022
