Wlgth	Ta	Wlgth	Ta 0°	Wlgth	Ra 0°
866	1	749.147446089318	0.0059271886172841	749.147446089318	99.8986632582529
867	1	749.227286678944	0.00579830223079027	749.227286678944	99.8991958852086
868	1	749.307144288449	0.0056729768714285	749.307144288449	99.899717098446
869	1	749.387018923275	0.0055510932943353	749.387018923275	99.9002272421691
870	1	749.466910588867	0.00543253707507233	749.466910588867	99.900726645507
871	1	749.546819290674	0.00531719814229068	749.546819290674	99.9012156280065
872	1	749.626745034144	0.00520497071657282	749.626745034144	99.9016944942984
873	1	749.706687824729	0.00509575090552536	749.706687824729	99.9021634342062
874	1	749.786647667886	0.00498944342683219	749.786647667886	99.9026228442618
885	97	749.866624569068	0.004885954809919	749.866624569068	99.9030730196587
886	97	749.946618533738	0.00478519600649359	749.946618533738	99.9035142818586
887	97	750	0.00471944375804776	750	99.9038038150616
888	97	750.026629567355	0.0046870782618156	750.026629567355	99.9039468028031
889	97	750.106657675383	0.00459151662049629	750.106657675383	99.9043708305997
890	97	750.186702863289	0.00449842949847615	750.186702863289	99.9047866038166
891	97	750.266765136542	0.00440774151943803	750.266765136542	99.9051943473406
892	97	750.346844500611	0.00431937995379866	750.346844500611	99.9055942769645
893	97	750.426940960969	0.00423327208677468	750.426940960969	99.9059866076759
894	97	750.507054523094	0.00414934708026747	750.507054523094	99.9063715490346
895	97	750.587185192461	0.00406753665019655	750.587185192461	99.9067492319162
896	97	750.667332974552	0.0039877774325377	750.667332974552	99.9071198992126
897	97	750.747497874849	0.00391000772520792	750.747497874849	99.9074837569448
898	97	750.827679898836	0.00383416938707366	750.827679898836	99.9078410618104
899	97	750.907879052002	0.00376020283602883	750.907879052002	99.9081919100202
900	97	750.988095339834	0.0036880519879307	750.988095339834	99.9085364541352
901	97	751	0.00367749681738036	751	99.9085870444048
902	97	751.068328767826	0.00361766189533303	751.068328767826	99.9088748016055
903	97	751.148579341471	0.00354898207747932	751.148579341471	99.9092071787556
904	97	751.228847066266	0.00348196241400136	751.228847066266	99.9095337369168
905	97	751.30913194771	0.00341655450964744	751.30913194771	99.909854622564
906	97	751.389433991304	0.00335271157943959	751.389433991304	99.9101699785379
907	97	751.469753202552	0.00329038928691	751.469753202552	99.9104799787813
908	97	751.550089586959	0.00322954388299874	751.550089586959	99.910784751362
909	97	751.630443150035	0.0031701324500665	751.630443150035	99.911084391669
910	97	751.710813897289	0.00311211325684082	751.710813897289	99.9113789765511
911	97	751.791201834235	0.0030554475570634	751.791201834235	99.9116686579123
912	97	751.871606966387	0.00300009768402246	751.871606966387	99.9119535730348
913	97	751.952029299265	0.00294602806796757	751.952029299265	99.9122338917708
914	97	752	0.0029143760512768	752	99.9123989027272
915	97	752.032468838387	0.00289320193633342	752.032468838387	99.9125096725195
916	97	752.112925589277	0.00284158442287862	752.112925589277	99.912781010849
917	97	752.19339955746	0.00279113964895871	752.19339955746	99.9130479638797
918	97	752.273890748461	0.00274183833592551	752.273890748461	99.9133106858838
919	97	752.354399167812	0.00269364976997452	752.354399167812	99.9135692731488
920	97	752.434924821043	0.00264654449755406	752.434924821043	99.9138238183737
921	97	752.51546771369	0.0026004919155196	752.51546771369	99.9140744169907
922	97	752.596027851288	0.00255546425165237	752.596027851288	99.9143211833585
923	97	752.676605239378	0.00251143413084882	752.676605239378	99.9145642067378
924	97	752.7571998835	0.00246837433619277	752.7571998835	99.9148035416563
925	97	752.837811789198	0.00242625843702501	752.837811789198	99.9150392352311
926	97	752.918440962018	0.00238506185062331	752.918440962018	99.9152713843822
927	97	753	0.00234430982532362	753	99.9155026532692
928	97	753.079751131222	0.0023053318496352	753.079751131222	99.9157254114315
929	97	753.16043213871	0.00226675231002121	753.16043213871	99.9159474368956
930	97	753.241130435528	0.00222900015308662	753.241130435528	99.916166232246
931	97	753.321846027235	0.00219205405760057	753.321846027235	99.9163818656008
932	97	753.402578919392	0.00215589329868531	753.402578919392	99.9165944045015
933	97	753.48332911756	0.00212049780428467	753.48332911756	99.9168039138176
934	97	753.564096627306	0.00208584811085715	753.564096627306	99.9170104564154
935	97	753.644881454196	0.0020519253037691	753.644881454196	99.9172140943259
936	97	753.725683603801	0.00201871105640321	753.725683603801	99.9174148871317
937	97	753.806503081694	0.0019861875781754	753.806503081694	99.9176128929471
938	97	753.887339893448	0.00195433758494892	753.887339893448	99.9178081688109
939	97	753.968194044642	0.00192314432295172	753.968194044642	99.918000769515
940	97	754	0.00191105189925786	754	99.9180758011619
941	97	754.049065540854	0.00189259151051963	754.049065540854	99.9181907488659
942	97	754.129954387666	0.00186266333417889	754.129954387666	99.9183781593748
943	97	754.210860590664	0.00183334445948278	754.210860590664	99.9185630514886
944	97	754.291784155433	0.00180461996773211	754.291784155433	99.9187454751011
945	97	754.372725087563	0.00177647537388301	754.372725087563	99.9189254786113
946	97	754.453683392645	0.00174889662611663	754.453683392645	99.9191031085167
947	97	754.534659076273	0.00172187003860026	754.534659076273	99.9192784111541
948	97	754.615652144044	0.0016953823303632	754.615652144044	99.9194514310997
949	97	754.696662601556	0.00166942060274443	754.696662601556	99.9196222115035
950	97	754.777690454411	0.00164397229415314	754.777690454411	99.919790795217
		754.858735708211	0.00161902521200933	754.858735708211	99.9199572233999
		754.939798368564	0.00159456750153529	754.939798368564	99.9201215362007
		755	0.00157671699469245	755	99.9202421961746
		755.020878441076	0.00157058762184902	755.020878441076	99.9202837732435
		755.10197593136	0.00154707401177936	755.10197593136	99.9204439546733
		755.183090845028	0.00152401582247205	755.183090845028	99.9206021207508
		755.264223187696	0.0015014027574467	755.264223187696	99.9207583241692
		755.345372964981	0.0014792249639156	755.345372964981	99.9209126233599
		755.426540182505	0.00145747209871189	755.426540182505	99.9210650382509
		755.50772484589	0.00143613420763672	755.50772484589	99.921215593624
		755.588926960761	0.00141520179492484	755.588926960761	99.9213643221203
		755.670146532746	0.0013946695701834	755.670146532746	99.9215109808057
		755.751383567475	0.00137452444238674	755.751383567475	99.9216558715425
		755.832638070581	0.00135475766683833	755.832638070581	99.9217990028358
		755.913910047699	0.00133536063216939	755.913910047699	99.9219404340172
		756	0.00131521213853975	756	99.9220884054274
		756.07650644652	0.00129764273485004	756.07650644652	99.9222183501125
		756.157830879506	0.00127930593553833	756.157830879506	99.9223548822067
		756.239172809067	0.00126130695797669	756.239172809067	99.9224898261594
		756.320532240851	0.00124363833126708	756.320532240851	99.9226232086013
		756.401909180507	0.00122629277227722	756.401909180507	99.922755055775
		756.483303633687	0.0012092628593629	756.483303633687	99.9228853754025
		756.564715606046	0.00119254185544169	756.564715606046	99.9230142014991
		756.646145103239	0.00117612320097248	756.646145103239	99.9231415676329
		756.727592130927	0.00116000075389666	756.727592130927	99.923267518809
		756.809056694771	0.00114416776060048	756.809056694771	99.9233920601839
		756.890538800436	0.00112861789397303	756.890538800436	99.9235152096879
		756.972038453587	0.00111334465092387	756.972038453587	99.9236369665029
		757	0.00110816810020347	757	99.9236784225151
		757.053555659894	0.00109834256230228	757.053555659894	99.9237573768857
		757.135090425028	0.00108360595330889	757.135090425028	99.9238764672917
		757.216642754663	0.00106912943643243	757.216642754663	99.9239942711092
		757.298212654475	0.0010549071557594	757.298212654475	99.9241107901623
		757.379800130144	0.00104093357784491	757.379800130144	99.9242260347831
		757.46140518735	0.00102720340909462	757.46140518735	99.9243400207087
		757.543027831777	0.001013711805968	757.543027831777	99.9244527808001
		757.624668069111	0.00100045379797182	757.624668069111	99.924564333488
		757.70632590504	0.00098742453071861	757.70632590504	99.924674697047
		757.788001345257	0.000974619266523753	757.788001345257	99.924783889421
		757.869694395453	0.000962033986280537	757.869694395453	99.9248919438127
		757.951405061326	0.000949663716160242	757.951405061326	99.9249988653793
		758	0.000942408185624205	758	99.9250619105714
		758.033133348573	0.000937503889663282	758.033133348573	99.9251046665435
		758.114879262896	0.000925549515448366	758.114879262896	99.925209344341
		758.196642809996	0.000913797104099214	758.196642809996	99.9253129341498
		758.278423995582	0.000902242580106628	758.278423995582	99.9254154521354
		758.36022282536	0.000890881948794804	758.36022282536	99.9255169135089
		758.442039305041	0.00087971130297806	758.442039305041	99.9256173335644
		758.523873440339	0.000868726832478464	758.523873440339	99.9257167269763
		758.605725236969	0.000857924815943442	758.605725236969	99.9258151081381
		758.687594700649	0.00084730161511522	758.687594700649	99.92591249139
		758.7694818371	0.000836853864490971	758.7694818371	99.9260089004559
		758.851386652044	0.000826578061269201	758.851386652044	99.9261043471887
		758.933309151207	0.000816470656231991	758.933309151207	99.9261988364252
		759	0.000808366087125668	759	99.9262750345397
		759.015249340318	0.000806528292274084	759.015249340318	99.9262923676158
		759.097207225106	0.00079674776068338	759.097207225106	99.9263849624944
		759.179182811305	0.000787125918104349	759.179182811305	99.9264766388089
		759.26117610465	0.0007776594579923	759.26117610465	99.9265674092505
		759.343187110879	0.000768345571029152	759.343187110879	99.9266572855415
		759.425215835731	0.000759181328021991	759.425215835731	99.9267462794693
		759.507262284951	0.000750163847314659	759.507262284951	99.9268344024778
		759.589326464283	0.000741290307552301	759.589326464283	99.9269216661615
		759.671408379475	0.000732557953776245	759.671408379475	99.9270080816334
		759.753508036278	0.000723964092762442	759.753508036278	99.9270936597698
		759.835625440443	0.000715506088650157	759.835625440443	99.9271784114777
		759.917760597727	0.000707181461478932	759.917760597727	99.9272623469522
		760	0.000698979136574724	760	99.9273455636176
		760.082084194684	0.000690922215393698	760.082084194684	99.9274278107736
		760.16427264588	0.000682982315794948	760.16427264588	99.9275093497366
		760.24647887324	0.000675165803601662	760.24647887324	99.9275901084303
		760.328702882531	0.000667470527713008	760.328702882531	99.9276701014486
		760.410944679525	0.000659894458939975	760.410944679525	99.9277493505815
		760.493204269994	0.000652435198170049	760.493204269994	99.9278278545062
		760.575481659714	0.000645090555772455	760.575481659714	99.9279056201549
		760.657776854461	0.000637858564167942	760.657776854461	99.9279826558689
		760.740089860016	0.000630736998431171	760.740089860016	99.9280589710298
		760.822420682162	0.000623723803206609	760.822420682162	99.9281345742919
		760.904769326683	0.000616816925855767	760.904769326683	99.9282094742227
		760.987135799369	0.000610014546428489	760.987135799369	99.9282836789175
		761	0.000608961576860128	761	99.9282952047091
		761.069520106008	0.000603314770198296	761.069520106008	99.9283571964464
		761.151922252394	0.0005967157422277	761.151922252394	99.9284300347824
		761.234342244322	0.00059021564610289	761.234342244322	99.9285022018855
		761.316780087589	0.000583812704657864	761.316780087589	99.9285737053716
		761.399235787996	0.000577505177318727	761.399235787996	99.9286445528629
		761.481709351346	0.000571291359868783	761.481709351346	99.9287147518766
		761.564200783444	0.00056516950056034	761.564200783444	99.9287842993138
		761.646710090097	0.000559138026181254	761.646710090097	99.928853210349
		761.729237277117	0.000553195358355151	761.729237277117	99.928921494763
		761.811782350315	0.0005473400365006	761.811782350315	99.9289891716684
		761.894345315508	0.000541570423187931	761.894345315508	99.9290562356705
		761.976926178512	0.000535884978146522	761.976926178512	99.9291226911986
		762	0.000534311434388605	762	99.929141146625
		762.059524945149	0.000530282095117799	762.059524945149	99.9291885370261
		762.142141621242	0.000524760506292511	762.142141621242	99.9292537897722
		762.224776212615	0.000519318903610435	762.224776212615	99.9293184598065
		762.307428725098	0.000513955978379417	762.307428725098	99.9293825563916
		762.390099164519	0.000508670184331921	762.390099164519	99.9294460784755
		762.472787536714	0.00050346004178242	762.472787536714	99.9295090260465
		762.555493847516	0.000498324282367316	762.555493847516	99.9295714062698
		762.638218102764	0.000493261757863097	762.638218102764	99.9296332300821
		762.720960308299	0.000488271410602708	762.720960308299	99.9296945109654
		762.803720469963	0.000483351884162761	762.803720469963	99.9297552494765
		762.886498593603	0.000478501907116478	762.886498593603	99.9298154483781
